"What did you pay customs for?","What was the declared value?","Paid customs","Country code (ISO A2)",Notes,Author,"Paid customs (USD)"
"Logic analyzer",3.99,2.75,IT,,U07UD57S0N7,0.00
Sprig,45.23,14.50,IT,"Value is declared in usd instead of eur as that's what's written on the label",U0820QDTS69,0.00
"Raspberry Pi 2W + Digital Calipers",23.06,6.00,FR,,U07E6R26ZC0,0.00
"Pinecil + Yubikey",78.12,18.00,FR,,U07E6R26ZC0,0.00
"Github keycaps  and stickers ","1,992.00","1,103.00","IN 356",,U07C7C0CNDB,0.00
"Arcade postcards","1,040.78",0.00,IN,"what do i do with them now",U08310CM2NL,0.00
"Hacker card","1,680.00",910.00,IN,,U081ZC7ES30,0.00
"Raspberry Pi Zero 2 W","2,000.00",0.00,IN,,U07AG1R4KAQ,0.00
"BambuLab A1 Mini","5,082.00",0.00,CZ,"didn't have to declare anything, came from Germany",U07V1G4396G,0.00
"Raspberry pi zero 2 W",20.97,881.24,IND,"I'm from kochi/kerala fyi",U079DFNSYQ2,0.00
"Raspberry Pi 5, micro SD card, sticker","1,460.00",775.00,CZ,"Everything Hackclub sends is NOT CONSIDERED A GIFT in CZ.",U07V1G4396G,0.00
"Raspberry Pi 5","1,500,000.00","225,657.00",ID,"13.90 USD for customs is crazy",U082WTQLCVA,0.00
"Ben eater 8 bit computer","8,196.00",890.00,TH,,U082JK5ERFB,0.00
Sprig,"1,500.00",294.00,TH,,U082JK5ERFB,0.00
"How Git Works (zine by Julia Evans)",242.70,0.00,IN,,U08310CM2NL,0.00
iPad,"42,800.00",0.00,IN,,U08310CM2NL,0.00
"Memory card ",1.00,0.00,IN,"No customs! Came in an envelope",U07972SC7A9,0.00
"Raspberry pi zero 2w kit",3.10,0.00,IN,"Japanese candies included:) got no customs. 
(Rpi z2w+sd card+sd card reader+japanese candies)",U07972SC7A9,0.00
"Raspberry Pi 5",252.62,66.50,PL,,U07A2LHR8HJ,0.00
"A Pocket Guide to Debugging",4.19,0.00,IN,"No customs you can buy it without hesitation",U06PUN13XHT,0.00
"Raspberry Pi Zero 2 W","1,793.21",0.00,IN,"I got zero customs :D",U080AFMNF26,0.00
"LLM Book + Yubikey",92.84,32.28,GR,,U07D53W8L6R,0.00
blot,"9,999,999.00",21.98,ES,"The delivery man didn't ask for customs so I said yipee but later I got a cease and desease letter from FedEx and I said oww
i don't remember the declared value, threw the box away :(",U079NT92QQ7,0.00
"Stickers for club",37.00,5.30,ES,"250 stickers",U078E6P6SAJ,0.00
"Pinecil v2",25.98,0.00,VN,"payed 7000 VND (0.3$) for delivery fee.",U081GA0TAPR,0.00
